sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
7896005800225,default,Default,simple,"Supermercado Carajas/Categorias/Despensa,Supermercado Carajas/Categorias/Despensa/Cereais e Café da Manhã",base,Café 3 Corações C/ Leite Pacote 360G,Café 3 Corações C/ Leite Pacote 360G,,1,1,Nenhum,"Catálogo, Pesquisa",7.13,6.06,,,6005800225-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7896005801826,default,Default,simple,"Supermercado Carajas/Categorias/Despensa,Supermercado Carajas/Categorias/Despensa/Cereais e Café da Manhã",base,Café 3 Corações 500g Vacuo Extra Forte,Café 3 Corações 500g Vacuo Extra Forte,,1,1,Nenhum,"Catálogo, Pesquisa",11.99,10.19,,,6005801826-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,81,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7896005801970,default,Default,simple,"Supermercado Carajas/Categorias/Despensa,Supermercado Carajas/Categorias/Despensa/Cereais e Café da Manhã",base,Café 3 Corações Instantaneo 100G,Café 3 Corações Instantaneo 100G,,1,1,Nenhum,"Catálogo, Pesquisa",5.57,4.73,,,6005801970-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,93,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7896005800188,default,Default,simple,"Supermercado Carajas/Categorias/Despensa,Supermercado Carajas/Categorias/Despensa/Cereais e Café da Manhã",base,Café 3 Corações 500g Vacuo Tradicional,Café 3 Corações 500g Vacuo Tradicional,,1,1,Nenhum,"Catálogo, Pesquisa",12.24,10.4,,,6005800188-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,123,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7891018000655,default,Default,simple,"Supermercado Carajas/Categorias/Despensa,Supermercado Carajas/Categorias/Despensa/Cereais e Café da Manhã",base,Café 3 Fazendas Avacuo 250g,Café 3 Fazendas Avacuo 250g,,1,1,Nenhum,"Catálogo, Pesquisa",2.69,2.29,,,1018000655-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7896005803264,default,Default,simple,"Supermercado Carajas/Categorias/Despensa,Supermercado Carajas/Categorias/Despensa/Cereais e Café da Manhã",base,Café C/ Leite 3 Corações 330g,Café C/ Leite 3 Corações 330g,,1,1,Nenhum,"Catálogo, Pesquisa",20.81,17.69,,,6005803264-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,101,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7896005802892,default,Default,simple,"Supermercado Carajas/Categorias/Despensa,Supermercado Carajas/Categorias/Despensa/Cereais e Café da Manhã",base,3 Corações Café Capputino 200g Chocolate,3 Corações Café Capputino 200g Chocolate,,1,1,Nenhum,"Catálogo, Pesquisa",15.95,13.55,,,6005802892-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,173,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7896005800157,default,Default,simple,"Supermercado Carajas/Categorias/Despensa,Supermercado Carajas/Categorias/Despensa/Cereais e Café da Manhã",base,3 Corações Café Cappuccino 200g Classic,3 Corações Café Cappuccino 200g Classic,,1,1,Nenhum,"Catálogo, Pesquisa",15.95,13.56,,,6005800157-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,216,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7896005800140,default,Default,simple,"Supermercado Carajas/Categorias/Despensa,Supermercado Carajas/Categorias/Despensa/Cereais e Café da Manhã",base,Café Cappuccino 3 Corações Classic 400g,Café Cappuccino 3 Corações Classic 400g,,1,1,Nenhum,"Catálogo, Pesquisa",23.12,19.66,,,6005800140-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,114,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7896005802519,default,Default,simple,"Supermercado Carajas/Categorias/Despensa,Supermercado Carajas/Categorias/Despensa/Cereais e Café da Manhã",base,Café Cappuccino 3 Corações Diet 150g,Café Cappuccino 3 Corações Diet 150g,,1,1,Nenhum,"Catálogo, Pesquisa",17.51,14.88,,,6005802519-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,128,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
