sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
7893000991989,default,Default,simple,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Frios e Congelados",base,Sadia Nuggets 300g Frango C/ Presunto,Sadia Nuggets 300g Frango C/ Presunto,,1,1,Nenhum,"Catálogo, Pesquisa",6.52,5.54,,,3000991989-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7893000949430,default,Default,simple,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Frios e Congelados",base,Sadia Nuggets 300g Frango C/ Queijo,Sadia Nuggets 300g Frango C/ Queijo,,1,1,Nenhum,"Catálogo, Pesquisa",11.47,9.75,,,3000949430-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,125,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7893000949270,default,Default,simple,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Frios e Congelados",base,Sadia Nuggets 300g Frango Crocante,Sadia Nuggets 300g Frango Crocante,,1,1,Nenhum,"Catálogo, Pesquisa",13.1,11.13,,,3000949270-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,114,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7893000436992,default,Default,simple,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",base,Sadia Asa de Frango Cong. 1kg,Sadia Asa de Frango Cong. 1kg,,1,1,Nenhum,"Catálogo, Pesquisa",12.84,10.91,,,3000436992-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,101,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7893000084605,default,Default,simple,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",base,Sadia Banha Suina Refinada 1kg,Sadia Banha Suina Refinada 1kg,,1,1,Nenhum,"Catálogo, Pesquisa",18.91,16.07,,,3000084605-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,104,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7893000516168,default,Default,simple,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",base,Filezinho Peito Temperado Sadia 1kg,Filezinho Peito Temperado Sadia 1kg,,1,1,Nenhum,"Catálogo, Pesquisa",12.73,10.82,,,3000516168-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
2123500159943,default,Default,simple,"Supermercado Carajas/Categorias/Frios e Congelados,Supermercado Carajas/Categorias/Frios e Congelados/Presuntos e Embutidos",base,Mortadela defumada Sadia Mini kg,Mortadela defumada Sadia Mini kg,,1,1,Nenhum,"Catálogo, Pesquisa",13.25,11.26,,,3500159943-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7893000005969,default,Default,simple,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",base,Coxa Cong. de Frango Sadia Ptes 1kg,Coxa Cong. de Frango Sadia Ptes 1kg,,1,1,Nenhum,"Catálogo, Pesquisa",21.17,17.99,,,3000005969-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,114,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7893000005938,default,Default,simple,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",base,Sadia Asa de Frango Inteira Cong. 1kg,Sadia Asa de Frango Inteira Cong. 1kg,,1,1,Nenhum,"Catálogo, Pesquisa",12.52,10.64,,,3000005938-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7893000815827,default,Default,simple,"Supermercado Carajas/Categorias/Frios e Congelados,Supermercado Carajas/Categorias/Frios e Congelados/Presuntos e Embutidos",base,Mortadela de Frango Clubinho Sadia 400g,Mortadela de Frango Clubinho Sadia 400g,,1,1,Nenhum,"Catálogo, Pesquisa",2.72,2.31,,,3000815827-url,Meta Title,,meta description,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
