CODIGO,CODIGO BARRA,DESCRIÇÃO,COD. MARCA,MARCA,COD. gUPO,gUPO,UN,ESTOQUE,PRÇ. AVISTA,PRÇ APRAZO
1570,7893000991989,Sadia Nuggets 300g Frango C/ Presunto,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Frios e Congelados",UN,0,5.54,6.52
1571,7893000949430,Sadia Nuggets 300g Frango C/ Queijo,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Frios e Congelados",UN,25,9.75,11.47
1573,7893000949270,Sadia Nuggets 300g Frango Crocante,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Frios e Congelados",UN,14,11.13,13.1
2177,7893000436992,Sadia Asa de Frango Cong. 1kg,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",UN,1,10.91,12.84
7348,7893000084605,Sadia Banha Suina Refinada 1kg,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",UN,4,16.07,18.91
13328,7893000516168,Filezinho Peito Temperado Sadia 1kg,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",UN,0,10.82,12.73
15994,2123500159943,Mortadela defumada Sadia Mini kg,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados,Supermercado Carajas/Categorias/Frios e Congelados/Presuntos e Embutidos",KG,0,11.26,13.25
19634,7893000005969,Coxa Cong. de Frango Sadia Ptes 1kg,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",UN,14,17.99,21.17
20121,7893000005938,Sadia Asa de Frango Inteira Cong. 1kg,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",UN,0,10.64,12.52
21018,7893000815827,Mortadela de Frango Clubinho Sadia 400g,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados,Supermercado Carajas/Categorias/Frios e Congelados/Presuntos e Embutidos",UN,0,2.31,2.72
21176,7893000863125,Filezinho de Frango Cong. Sadia Cortes 1kg,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",UN,0,11.72,13.79
21177,7893000516083,Filezinho de Peito Frango Cong. Sadia 1kg,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",UN,40,27.52,32.38
22593,7893000992016,Sadia Nuggets 300g Legumes,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Frios e Congelados",UN,0,4.63,5.45
25674,7893000946767,Mortadela de Frango Sadilar Familiar 500G,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados,Supermercado Carajas/Categorias/Frios e Congelados/Presuntos e Embutidos",UN,0,3.14,3.7
25707,7893000712263,Mortadela Reginelle Familar Sadia 400G,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados,Supermercado Carajas/Categorias/Frios e Congelados/Presuntos e Embutidos",UN,0,2.85,3.35
25712,7893000340107,Mortadela Sadia Sadilar Familiar 1kg,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados,Supermercado Carajas/Categorias/Frios e Congelados/Presuntos e Embutidos",UN,416,15.91,18.72
25713,7893000137905,Mortadela Sadilar S/ Gordura Rosa 1kg,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados,Supermercado Carajas/Categorias/Frios e Congelados/Presuntos e Embutidos",UN,0,6.79,7.99
25840,7893000387096,Hamburguer Carne Bovina Sadia 672G,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Frios e Congelados",UN,0,9.5,11.18
25841,7893000486744,Hamburguer de Frango Sadia 672g,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Frios e Congelados",UN,0,9.26,10.9
25877,7893000043220,Hot Pocket X Bacon P/ Microondas Sadia 145g,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Frios e Congelados",UN,133,7.72,9.8
25878,7893000027701,Hot Pocket X Burguer P/ Microondas Sadia 145g,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Frios e Congelados",UN,22,6.48,7.62
25879,7893000027718,Hot Pocket X Frango P/ Microondas Sadia 145g,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Frios e Congelados",UN,31,6.49,7.64
25880,7893000043213,Hot Pocket X Picanha P/ Microondas Sadia 145g,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Frios e Congelados",UN,135,7.89,9.28
26291,7893000482401,File de Peito Sadia 1kg,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",UN,253,18.41,21.66
26378,7893000650138,Linguica Sadia Calabresa 500g,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",UN,23,18.51,21.78
26406,7893000133075,Linguica Sadia Guanabara Fina 500g,359,SADIA,167,"Supermercado Carajas/Categorias/Frios e Congelados/Nuggets e Carnes,Supermercado Carajas/Categorias/Carnes e Frutos do Mar/Carnes",UN,210,29.99,35.29
