sku,base_image,small_image,thumbnail_image,additional_images
7896005802403,7896005802403/3_Coracoes_Capsula_20g_Cappuccino_Baunilha_1.jpeg,,7896005802403/3_Coracoes_Capsula_20g_Cappuccino_Baunilha_1.jpeg,7896005802403/3_Coracoes_Capsula_20g_Cappuccino_Baunilha_2.jpeg
7896005800140,7896005800140/Cafe_Cappuccino_3_Coracoes_Classic_400g_1.jpeg,,7896005800140/Cafe_Cappuccino_3_Coracoes_Classic_400g_1.jpeg,7896005800140/Cafe_Cappuccino_3_Coracoes_Classic_400g_2.jpeg
7896005803264,7896005803264/Cafe_C_Leite_3_Coracoes_330g_2.jpeg,,7896005803264/Cafe_C_Leite_3_Coracoes_330g_2.jpeg,7896005803264/Cafe_C_Leite_3_Coracoes_330g_1.jpeg
7896005808016,7896005808016/3_Coracoes_Cafe_Cappuccino_180g_Balance_1.png,,7896005808016/3_Coracoes_Cafe_Cappuccino_180g_Balance_1.png,7896005808016/3_Coracoes_Cafe_Cappuccino_180g_Balance_2.png
1570,1570/UN_1.png,,1570/UN_1.png,1570/UN_2.png
7896005808276,7896005808276/Cafeteira_Tres_Coracoes_S27_Pop_Plus_Verm_220V_2.jpeg,,7896005808276/Cafeteira_Tres_Coracoes_S27_Pop_Plus_Verm_220V_2.jpeg,7896005808276/Cafeteira_Tres_Coracoes_S27_Pop_Plus_Verm_220V_1.jpeg
7896224836098,7896224836098/3_Coracoes_Chocol._Po_Chocolatto_700g_2.jpeg,,7896224836098/3_Coracoes_Chocol._Po_Chocolatto_700g_2.jpeg,7896224836098/3_Coracoes_Chocol._Po_Chocolatto_700g_1.jpeg
7896005800577,7896005800577/3_Coracoes_Cafe_Tm_decaf_Vac_250g_2.jpeg,,7896005800577/3_Coracoes_Cafe_Tm_decaf_Vac_250g_2.jpeg,7896005800577/3_Coracoes_Cafe_Tm_decaf_Vac_250g_1.jpeg
7899471619452,7899471619452/Pegador_de_Salada_Startools_N.02_2.jpeg,,7899471619452/Pegador_de_Salada_Startools_N.02_2.jpeg,7899471619452/Pegador_de_Salada_Startools_N.02_1.jpeg
7896224836210,7896224836210/3_Coracoes_Achocolatado_Po_Chocolatto_Lv800g_Pg700_2.jpeg,,7896224836210/3_Coracoes_Achocolatado_Po_Chocolatto_Lv800g_Pg700_2.jpeg,7896224836210/3_Coracoes_Achocolatado_Po_Chocolatto_Lv800g_Pg700_1.jpeg
7896005800157,7896005800157/3_Coracoes_Cafe_Cappuccino_200g_Classic_1.png,,7896005800157/3_Coracoes_Cafe_Cappuccino_200g_Classic_1.png,7896005800157/3_Coracoes_Cafe_Cappuccino_200g_Classic_2.jpeg
7896005805718,7896005805718/3_Coracoes_Capsula_Tres_Atento_10X8g_2.jpeg,,7896005805718/3_Coracoes_Capsula_Tres_Atento_10X8g_2.jpeg,7896005805718/3_Coracoes_Capsula_Tres_Atento_10X8g_1.jpeg
7896005804391,7896005804391/3_Coracoes_Achocolatado_Po_Chocolatto_300g_1.jpeg,,7896005804391/3_Coracoes_Achocolatado_Po_Chocolatto_300g_1.jpeg,7896005804391/3_Coracoes_Achocolatado_Po_Chocolatto_300g_2.jpeg
7896005804384,7896005804384/3_Coracoes_Beb._Lactea_Cappuccino_Classic_190Ml_1.jpeg,,7896005804384/3_Coracoes_Beb._Lactea_Cappuccino_Classic_190Ml_1.jpeg,7896005804384/3_Coracoes_Beb._Lactea_Cappuccino_Classic_190Ml_2.jpeg
